"line","frequency","output","input"
"761",2,"12","12"
"762",208,"12","12"
"763",5,"121","121"
"764",1,"13","13"
"765",2,"14","14"
"766",3,"18","18"
"767",67,"1010","1010"
"768",1,"1001","1001"
"769",17,"1015","1015"
"770",2,"1020","1020"
"771",1,"10cent","10cent"
"772",8,"10minute","10minut"
"773",18,"10year","10year"
"774",61,"10","10"
"775",4,"1032008","1032008"
"776",689,"100","100"
"777",108,"100","100"
"778",1,"1000","1000"
"779",1,"1000s","1000"
"780",34,"100g","100g"
"781",77,"100k","100k"
"782",36,"100m","100m"
"783",1,"100s","100"
"784",62,"100th","100th"
"785",192,"101","101"
"786",24,"1010","1010"
"787",35,"1012","1012"
"788",5,"10141016","10141016"
"789",8,"1015","1015"
"790",1,"10151045","10151045"
"791",45,"10186","10186"
"792",7,"102","102"
"793",32,"1024","1024"
"794",1,"102nd","102nd"
"795",16,"103","103"
"796",35,"1030","1030"
"797",21,"1040","1040"
"798",33,"105","105"
"799",5,"1052","1052"
"800",20,"1054","1054"
"801",3,"106","106"
"802",34,"107","107"
"803",33,"1070","1070"
"804",93,"108","108"
"805",1,"1080p","1080p"
"806",1,"1084","1084"
"807",35,"10865","10865"
"808",59,"109","109"
"809",14,"109","109"
"810",36,"1090","1090"
"811",3,"1093jiplpjpr088","1093jiplpjpr088"
"812",53,"10","10"
"813",45,"10am","10am"
"814",63,"10ish","10ish"
"815",27,"10lb","10lb"
"816",38,"10minute","10minut"
"817",30,"10month","10month"
"818",3,"10news","10new"
"819",35,"10pm","10pm"
"820",6,"10pm6am","10pm6am"
"821",149,"10th","10th"
"822",1,"10week","10week"
"823",10,"11yearold","11yearold"
"824",6,"110","110"
"825",42,"110","110"
"826",13,"110","110"
"827",47,"11025","11025"
"828",16,"111","111"
"829",1,"111130","111130"
"830",3,"1113","1113"
"831",42,"112","112"
"832",17,"1120","1120"
"833",1,"112mile","112mile"
"834",80,"113","113"
"835",86,"1130","1130"
"836",15,"1130am","1130am"
"837",40,"114","114"
"838",14,"1140","1140"
"839",59,"1145","1145"
"840",28,"115","115"
"841",9,"116","116"
"842",6,"1166","1166"
"843",6,"117","117"
"844",39,"1185","1185"
"845",38,"118th","118th"
"846",28,"119","119"
"847",1,"11am","11am"
"848",19,"11minute","11minut"
"849",37,"11pm","11pm"
"850",68,"11th","11th"
"851",1,"11yearold","11yearold"
"852",10,"122","122"
"853",1,"126","126"
"854",4,"12it","12it"
"855",28,"12yrold","12yrold"
"856",1,"12","12"
"857",59,"120","120"
"858",5,"1200","1200"
"859",29,"121","121"
"860",26,"1216","1216"
"861",29,"1224","1224"
"862",21,"1227","1227"
"863",6,"1230","1230"
"864",51,"1235","1235"
"865",29,"124","124"
"866",23,"125","125"
"867",84,"126119","126119"
"868",8,"127","127"
"869",37,"12724","12724"
"870",43,"128","128"
"871",31,"1296","1296"
"872",7,"12am","12am"
"873",8,"12mile","12mile"
"874",9,"12pm","12pm"
"875",54,"12pm2pm","12pm2pm"
"876",143,"12th","12th"
"877",1,"12thranked","12thrank"
"878",5,"12x24","12x24"
"879",38,"13yearold","13yearold"
"880",2,"13yearolds","13yearold"
"881",1,"13","13"
"882",38,"135","135"
"883",101,"130","130"
"884",17,"1300","1300"
"885",10,"133","133"
"886",23,"134","134"
"887",106,"135","135"
"888",43,"1359","1359"
"889",32,"135yard","135yard"
"890",43,"1368","1368"
"891",39,"13681643","13681643"
"892",2,"137","137"
"893",43,"1372","1372"
"894",16,"1375","1375"
"895",43,"1376","1376"
"896",54,"138","138"
"897",43,"1380","1380"
"898",43,"1386","1386"
"899",38,"138yard","138yard"
"900",80,"139","139"
"901",39,"1395","1395"
"902",86,"1397","1397"
"903",21,"13game","13game"
"904",2,"13inning","13in"
"905",105,"13th","13th"
"906",3,"14","14"
"907",220,"140","140"
"908",17,"1400s","1400"
"909",43,"1405","1405"
"910",43,"1407","1407"
"911",18,"141","141"
"912",39,"1412","1412"
"913",43,"1414","1414"
"914",43,"1419","1419"
"915",2,"142","142"
"916",43,"1422","1422"
"917",11,"143","143"
"918",14,"144","144"
"919",41,"147","147"
"920",34,"148","148"
"921",14,"149","149"
"922",38,"149page","149page"
"923",2,"14footer","14footer"
"924",274,"14th","14th"
"925",1,"14yearold","14yearold"
