"line","frequency","Term"
"2033",25,"everyon"
"2039",34,"film"
"2041",34,"flex"
"2042",40,"fli"
"2044",35,"from"
"2045",30,"fuck"
"2046",28,"game"
"2054",39,"hagerstown"
"2055",35,"happy"
"2057",56,"have"
"2058",38,"he"
"2059",33,"he"
"2062",39,"he"
"2063",37,"hei"
"2065",36,"hot"
"2066",82,"how"
"2069",409,"i"
"2071",32,"ill"
"2072",38,"im"
"2073",21,"iv"
"2075",105,"if"
"2076",23,"ïïîî"
"2081",113,"in"
"2082",34,"inform"
"2085",109,"it"
"2087",91,"it"
"2088",35,"its"
"2089",89,"it"
"2090",37,"jaan"
"2091",28,"jersei"
"2094",35,"lack"
"2096",22,"lassi"
"2098",44,"legends"
"2099",26,"let"
"2102",30,"lord"
"2103",44,"lycan"
"2104",24,"lyle"
"2108",23,"major"
"2109",28,"marvel"
"2112",23,"mi"
"2116",22,"missing"
"2117",37,"mommi"
"2118",33,"monumental"
"2122",29,"never"
"2123",41,"no"
"2124",119,"not"
"2125",35,"noth"
"2126",34,"nuclear"
"2127",21,"nutricide"
"2129",106,"oh"
"2131",31,"onc"
"2134",20,"packing"
"2135",23,"pari"
"2136",37,"participatori"
"2137",30,"peter"
"2138",21,"pharmageddon"
"2139",26,"pig"
"2140",25,"pleas"
"2141",36,"point"
"2143",21,"postpon"
"2144",21,"poverti"
"2147",23,"princ"
"2148",24,"problematic"
"2150",28,"programm"
"2151",37,"project"
"2152",30,"public"
"2159",21,"realli"
"2162",20,"resolved"
"2169",42,"safe"
"2172",66,"she"
"2173",31,"shelter"
"2174",24,"shoot"
"2181",39,"so"
"2183",26,"some"
"2184",20,"specul"
"2185",30,"spicey"
"2186",30,"spineless"
"2187",23,"spirit"
"2188",23,"spiritu"
"2194",25,"tamil"
"2195",37,"tango"
"2197",28,"thank"
"2198",33,"that"
"2199",188,"the"
"2201",21,"there"
"2202",56,"thei"
"2206",122,"thi"
"2208",35,"tiger"
"2210",21,"to"
"2218",24,"verbal"
"2222",34,"wait"
"2225",165,"we"
"2226",94,"well"
"2227",39,"were"
"2228",36,"weve"
"2229",55,"what"
"2230",21,"what"
"2231",51,"when"
"2232",22,"where"
"2238",34,"yeah"
"2239",30,"ye"
"2240",20,"yet"
"2241",95,"you"
"2243",33,"youd"
"2244",107,""
"2247",55,""
"2248",33,"ååäåå²åçèåÿèåçèæçèæççåæéçäåäæåéèdallesæÿæÿæéçåéã"
"2252",44,""
"2254",42,"aaaah"
"2259",61,"aam"
"2260",37,"aamir"
"2262",108,"aaron"
"2265",38,"aba"
"2266",35,"aback"
"2267",33,"abalon"
"2268",90,"abandon"
"2269",42,"abandon"
"2272",66,"abbei"
"2273",31,"abbi"
"2274",31,"abbington"
"2275",138,"abc"
"2276",58,"abc5team"
"2277",38,"abdelmoneim"
"2278",36,"abdomin"
"2281",73,"abercrombi"
"2282",43,"aberdeen"
"2284",83,"abid"
"2285",31,"abigail"
"2286",683,"abil"
"2288",1481,"abl"
"2289",43,"abnorm"
"2290",38,"aboard"
"2293",38,"abolfotoh"
"2294",26,"abolish"
"2295",37,"aboout"
"2297",57,"abound"
"2298",13660,"about"
"2301",448,"abov"
"2302",142,"abov"
"2304",69,"abraham"
"2306",43,"abreu"
"2307",155,"abroad"
"2309",22,"ab"
"2312",31,"abseil"
"2313",75,"absenc"
"2314",37,"absenc"
"2317",522,"absolut"
"2318",53,"absolut"
"2319",28,"absorb"
"2320",46,"abstin"
"2321",77,"abstract"
"2322",43,"abstract"
"2323",38,"absurd"
"2324",118,"abt"
"2326",43,"abund"
"2327",329,"abu"
"2328",103,"abus"
"2329",40,"abus"
"2330",31,"abv"
"2331",44,"abx"
"2332",134,"academ"
"2334",27,"academi"
"2338",102,"accent"
"2339",26,"accent"
"2340",582,"accept"
"2341",30,"accept"
"2342",35,"accept"
"2344",492,"access"
"2345",132,"accessor"
"2346",27,"accessori"
"2348",115,"accid"
"2349",81,"accid"
